t,vx,vy,vz,wx,wy,wz
1771883270.386727,0.19999999901868612,0.0,0.0,0.0,0.0,0.0
1771883270.396718,0.19999999901868612,0.0,0.0,0.0,0.0,0.0
1771883270.4075863,0.19999999795783804,0.0,0.0,0.0,0.0,0.0
1771883270.416724,0.19999999795783804,0.0,0.0,0.0,0.0,0.0
1771883270.426739,0.19999999795783804,0.0,0.0,0.0,0.0,0.0
1771883270.437717,0.19999999779752198,0.0,0.0,0.0,0.0,0.0
1771883270.447044,0.19999999779752198,0.0,0.0,0.0,0.0,0.0
1771883270.4574351,0.19999999870214913,0.0,0.0,0.0,0.0,0.0
1771883270.4667346,0.19999999870214913,0.0,0.0,0.0,0.0,0.0
1771883270.4767385,0.19999999807301924,0.0,0.0,0.0,0.0,0.0
1771883270.486728,0.19999999807301924,0.0,0.0,0.0,0.0,0.0
1771883270.4967294,0.19999999807301924,0.0,0.0,0.0,0.0,0.0
1771883270.5074317,0.19999999808026306,0.0,0.0,0.0,0.0,0.0
1771883270.5176802,0.19999999858536027,0.0,0.0,0.0,0.0,0.0
1771883270.526726,0.19999999858536027,0.0,0.0,0.0,0.0,0.0
1771883270.536729,0.19999999858536027,0.0,0.0,0.0,0.0,0.0
1771883270.5467317,0.19999999858536027,0.0,0.0,0.0,0.0,0.0
1771883270.556708,0.1999999979997724,0.0,0.0,0.0,0.0,0.0
1771883270.567242,0.1999999990245556,0.0,0.0,0.0,0.0,0.0
1771883270.576898,0.1999999990245556,0.0,0.0,0.0,0.0,0.0
1771883270.5867217,0.1999999990245556,0.0,0.0,0.0,0.0,0.0
1771883270.5966098,0.1999999990245556,0.0,0.0,0.0,0.0,0.0
1771883270.6067238,0.19999999846532887,0.0,0.0,0.0,0.0,0.0
1771883270.6167266,0.19999999846532887,0.0,0.0,0.0,0.0,0.0
1771883270.626779,0.19999999846532887,0.0,0.0,0.0,0.0,0.0
1771883270.6367192,0.19999999801502905,0.0,0.0,0.0,0.0,0.0
1771883270.646876,0.19999999801502905,0.0,0.0,0.0,0.0,0.0
1771883270.6575484,0.19999999801502905,0.0,0.0,0.0,0.0,0.0
1771883270.666763,0.19999999938537277,0.0,0.0,0.0,0.0,0.0
1771883270.6767535,0.19999999938537277,0.0,0.0,0.0,0.0,0.0
1771883270.6870892,0.19999999938537277,0.0,0.0,0.0,0.0,0.0
1771883270.6967335,0.1999999993978799,0.0,0.0,0.0,0.0,0.0
1771883270.706766,0.1999999993978799,0.0,0.0,0.0,0.0,0.0
1771883270.7167614,0.199999999396112,0.0,0.0,0.0,0.0,0.0
1771883270.7268636,0.199999999396112,0.0,0.0,0.0,0.0,0.0
1771883270.7367246,0.199999999396112,0.0,0.0,0.0,0.0,0.0
1771883270.7467306,0.19999999935552482,0.0,0.0,0.0,0.0,0.0
1771883270.7568097,0.19999999935552482,0.0,0.0,0.0,0.0,0.0
1771883270.7667274,0.19999999930066528,0.0,0.0,0.0,0.0,0.0
1771883270.7767205,0.19999999930066528,0.0,0.0,0.0,0.0,0.0
1771883270.7867322,0.19999999930066528,0.0,0.0,0.0,0.0,0.0
1771883270.7966902,0.19999999926340928,0.0,0.0,0.0,0.0,0.0
1771883270.8074355,0.19999999923103312,0.0,0.0,0.0,0.0,0.0
1771883270.816656,0.19999999923103312,0.0,0.0,0.0,0.0,0.0
1771883270.8267653,0.19999999923103312,0.0,0.0,0.0,0.0,0.0
1771883270.836818,0.19999999923103312,0.0,0.0,0.0,0.0,0.0
1771883270.84687,0.19999999918471717,0.0,0.0,0.0,0.0,0.0
1771883270.8567355,0.19999999918471717,0.0,0.0,0.0,0.0,0.0
1771883270.867894,0.19999999918471717,0.0,0.0,0.0,0.0,0.0
1771883270.8767543,0.1999999993593015,0.0,0.0,0.0,0.0,0.0
1771883270.8867295,0.1999999993593015,0.0,0.0,0.0,0.0,0.0
1771883270.8967297,0.1999999993593015,0.0,0.0,0.0,0.0,0.0
1771883270.9067752,0.19999999941133706,0.0,0.0,0.0,0.0,0.0
1771883270.9165885,0.19999999941133706,0.0,0.0,0.0,0.0,0.0
1771883270.9267714,0.19999999941133706,0.0,0.0,0.0,0.0,0.0
