t,x,y,z,qx,qy,qz,qw
1773449499.338807,0.24023120551291074,-0.00011907338726920014,0.4268494550695635,9.698023491928777e-05,0.170376307884124,-0.00030245752985535735,0.9853790198832381
1773449499.3708436,0.24023163265776126,-0.00011907314311596084,0.4268506533665369,9.697909910185812e-05,0.17037121214641834,-0.0003024555542993173,0.985379900945545
1773449499.4027932,0.24023142538343673,-0.00011907306008534374,0.4268529361285876,9.697881033374313e-05,0.17036812834349682,-0.0003024554643817852,0.9853804341271122
1773449499.418886,0.2402318525083933,-0.00011907281592168917,0.4268541344326522,9.697767450643282e-05,0.17036303259847774,-0.000302453488814823,0.9853813151471199
1773449499.4507823,0.24023227962095617,-0.0001190725717506308,0.4268553327411343,9.697653867652907e-05,0.17035793684890257,-0.0003024515132397723,0.9853821961407757
1773449499.466799,0.24023227962095617,-0.0001190725717506308,0.4268553327411343,9.697653867652907e-05,0.17035793684890257,-0.0003024515132397723,0.9853821961407757
1773449499.498776,0.24023270672112526,-0.00011907232757216168,0.4268565310540338,9.697540284403187e-05,0.1703528410947716,-0.0003024495376566332,0.9853830771080799
1773449499.530856,0.24023270672112526,-0.00011907232757216168,0.4268565310540338,9.697540284403187e-05,0.1703528410947716,-0.0003024495376566332,0.9853830771080799
1773449499.5628078,0.24023313237690302,-0.00012211724487448672,0.4268577305726004,7.342150003561239e-05,0.17034774713560316,-0.00031093820658552654,0.9853839571317059
1773449499.594815,0.2402331370859967,-0.0001123151423532559,0.4268577296575859,8.842051088652658e-05,0.17034774720041487,-0.0002891511499173469,0.9853839625228176
1773449499.6268115,0.24023314683231412,-8.899915707026584e-05,0.4268577293713507,8.631200936208492e-05,0.17034775107213232,-0.00024077126846485766,0.9853839750493715
1773449499.6588702,0.24023357500294643,-8.599156135240954e-05,0.42685892769308464,8.524499858495486e-05,0.1703426558457238,-0.00023460160279844394,0.9853848574515459
1773449499.6907678,0.24023357512766416,-8.561092306187679e-05,0.4268589275534888,8.81890999501432e-05,0.17034265581597047,-0.00023354028744255133,0.9853848574497066
1773449499.7067585,0.24023357458710998,-8.711457209552298e-05,0.4268589275534888,8.872219689496346e-05,0.17034265553914354,-0.00023662410490854662,0.9853848567140037
1773449499.7387848,0.24023547089268948,-8.711467411702534e-05,0.42686090500068863,8.872140144042216e-05,0.17033755977127482,-0.00023662208663354772,0.9853857376021172
1773449499.754773,0.24023547089268948,-8.711467411702534e-05,0.42686090500068863,8.872140144042216e-05,0.17033755977127482,-0.00023662208663354772,0.9853857376021172
1773449499.786773,0.24023547089268948,-8.711467411702534e-05,0.42686090500068863,8.872140144042216e-05,0.17033755977127482,-0.00023662208663354772,0.9853857376021172
1773449499.818775,0.240235897943245,-8.71143806980973e-05,0.4268621033312591,8.872060598350822e-05,0.1703324639988508,-0.00023662006835222096,0.9853866184638788
1773449499.850805,0.24023422135949118,-8.711392945923851e-05,0.42686360698967857,8.872051651308413e-05,0.17032938017495075,-0.00023661993416504497,0.9853871515241578
1773449499.8828223,0.2402375745175872,-8.711483193443031e-05,0.42686059966234585,8.872069545306337e-05,0.17033554782108265,-0.00023662020253707958,0.9853860853939482
1773449499.914777,0.2402375745175872,-8.711483193443031e-05,0.42686059966234585,8.872069545306337e-05,0.17033554782108265,-0.00023662020253707958,0.9853860853939482
1773449499.9467719,0.24023800156324926,-8.711453851178996e-05,0.42686179799466023,8.871990000083505e-05,0.17033045204686,-0.0002366181842512276,0.9853869662453052
1773449499.9788003,0.24023800156324926,-8.711453851178996e-05,0.42686179799466023,8.871990000083505e-05,0.17033045204686,-0.0002366181842512276,0.9853869662453052
1773449499.9948227,0.24024135314626835,-9.168285122171382e-05,0.4268587924499081,5.3390545376864385e-05,0.17033662004962746,-0.0002493533569353954,0.9853858994538239
1773449500.0267594,0.24023967697694149,-9.05405474430146e-05,0.42686029565333367,6.222286919572205e-05,0.17033353616104177,-0.0002461695796304636,0.9853864328210166
1773449500.042754,0.24024010492185613,-8.787591752924123e-05,0.4268614929281563,8.283093410696318e-05,0.1703284401704878,-0.0002387387721992403,0.9853873140100412
1773449500.075093,0.24024010504935966,-8.74953069257417e-05,0.4268614927862244,8.577506406842014e-05,0.17032844013315754,-0.0002376775361733812,0.9853873140211583
1773449500.108081,0.2402401055922967,-8.599161701719482e-05,0.4268614927862244,8.52420116115288e-05,0.17032844040076137,-0.00023459371101709948,0.9853873147601578
1773449500.154814,0.2403044229166571,-8.750306538930774e-05,0.42684855773499986,8.575914497695143e-05,0.1703006680968803,-0.00023763438793938585,0.9853921141459488
1773449500.1867747,0.24055938052678388,-9.365785579679153e-05,0.4266290622065247,3.8652672588999925e-05,0.17074995137391927,-0.0002545963532883543,0.9853143598834193
1773449500.2188203,0.24097638831257323,-8.692965646672768e-05,0.4262842399998894,7.93521011755896e-05,0.17142480603147933,-0.00023668084832961285,0.9851971749667626
1773449500.2507658,0.2413006829785258,-8.738478032559172e-05,0.4260337888279205,7.639959240552447e-05,0.17187599379900503,-0.00023770587320601344,0.9851185616029293
1773449500.2827685,0.24194125437036448,-9.54706377682274e-05,0.42563150262422245,2.6756854121735357e-05,0.17241406770426296,-0.0002584445521227233,0.9850245285007648
1773449500.3147395,0.24297905035086287,-9.36863839815158e-05,0.4252063140849149,4.1238884806944645e-05,0.17243325804483225,-0.00025246325581239457,0.9850211703723444
1773449500.346804,0.24491059827902872,-0.00012259353117616972,0.4255396688692142,-0.00019381315346964398,0.1682467082467348,-0.00032943779088279054,0.9857448448109388
