t,pos_joint_1,vel_joint_1,eff_joint_1,pos_joint_2,vel_joint_2,eff_joint_2,pos_joint_5,vel_joint_5,eff_joint_5,pos_joint_3,vel_joint_3,eff_joint_3,pos_joint_6,vel_joint_6,eff_joint_6,pos_joint_4,vel_joint_4,eff_joint_4,pos_front_left_wheel_joint,vel_front_left_wheel_joint,eff_front_left_wheel_joint,pos_front_right_wheel_joint,vel_front_right_wheel_joint,eff_front_right_wheel_joint,pos_rear_left_wheel_joint,vel_rear_left_wheel_joint,eff_rear_left_wheel_joint,pos_rear_right_wheel_joint,vel_rear_right_wheel_joint,eff_rear_right_wheel_joint
1773116693.2544708,0.03688495149177194,0.0,0.0,-0.55110861936179,0.0,-0.0806,0.25871209427784386,0.0,0.0,0.34716168920602936,0.0,-0.020800000000000003,0.16234923418402958,0.0,0.0,-0.16426415526048924,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
1773116693.2864628,0.03688495149177194,0.0,0.006200000000000001,-0.55110861936179,0.0,0.0,0.25871209427784386,0.0,0.0,0.34716168920602936,0.0,-0.020800000000000003,0.16234923418402958,0.0,0.0,-0.16426415526048924,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
1773116693.302478,0.03688495149177194,0.0,0.0,-0.55110861936179,0.0,-0.0806,0.25871209427784386,0.0,0.0,0.34716168920602936,0.0,-0.020800000000000003,0.16234923418402958,0.0,0.0,-0.16426415526048924,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
1773116693.3345006,0.03688495149177194,0.0,0.0,-0.55110861936179,0.0,-0.0682,0.25871209427784386,0.0,0.0,0.34716168920602936,0.0,-0.020800000000000003,0.16234923418402958,0.0,0.0,-0.16426415526048924,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
1773116693.350467,0.03688495149177194,0.0,0.0,-0.5511148784745494,0.0,-0.062000000000000006,0.25871209427784386,0.0,0.0,0.34716168920602936,0.0,-0.015600000000000001,0.16234923418402958,0.0,0.0,-0.16426415526048924,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
1773116693.382465,0.03688495149177194,0.0,0.0,-0.55110861936179,0.0,-0.0806,0.25871209427784386,0.0,0.0,0.34716168920602936,0.0,-0.020800000000000003,0.16234923418402958,0.0,0.0,-0.16426415526048924,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
1773116693.3984473,0.03688495149177194,0.0,0.0,-0.55110861936179,0.0,0.0,0.25871209427784386,0.0,0.0,0.34716168920602936,0.0,-0.015600000000000001,0.16234923418402958,0.0,0.0,-0.16426415526048924,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
1773116693.4304738,0.03688495149177194,0.0,0.0,-0.5511148784745494,0.0,0.0,0.25871209427784386,0.0,0.0,0.34716168920602936,0.0,-0.020800000000000003,0.16234923418402958,0.0,0.0,-0.16426415526048924,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
1773116693.462488,0.03688495149177194,0.0,0.0,-0.5511148784745494,0.0,-0.024800000000000003,0.25871209427784386,0.0,0.0,0.34716168920602936,0.0,-0.026000000000000002,0.16234923418402958,0.0,0.0,-0.16426415526048924,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
1773116693.494488,0.03688495149177194,0.0,0.0,-0.55110861936179,0.0,-0.0806,0.25871209427784386,0.0,0.0,0.34716168920602936,0.0,-0.020800000000000003,0.16234923418402958,0.0,0.0,-0.16426415526048924,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
