t,vx,vy,vz,wx,wy,wz
1767222365.593013,0.0,0.0,0.0,0.0,0.0,0.0
1767222365.6015868,0.0002826532446909103,0.0003751521154856472,2.1754394094509656e-05,0.0,0.0,0.0
1767222365.6096144,0.00106930388282506,0.0014192358349804513,8.229892460354907e-05,0.0,0.0,0.0
1767222365.6191301,0.0022317917054229175,0.0029621502506659634,0.00017176974688445627,0.0,0.0,0.0
1767222365.6306603,0.004099338876101651,0.005440856173944872,0.00031550542975432354,0.0,0.0,0.0
1767222365.638778,0.0061211529576080895,0.008124313180161942,0.0004711142583846731,0.0,0.0,0.0
1767222365.648897,0.00873757661360717,0.011596966998900548,0.0006724871858139835,0.0,0.0,0.0
1767222365.6593091,0.011849134061456759,0.015726788187729917,0.0009119680629652352,0.0,0.0,0.0
1767222365.6689036,0.01513932962160809,0.02009370718808325,0.0011651978142875976,0.0,0.0,0.0
1767222365.6792436,0.019129690153313773,0.02538992162445678,0.001472315730732638,0.0,0.0,0.0
1767222365.6886806,0.02309471925125117,0.030652514861905636,0.00177748401453229,0.0,0.0,0.0
1767222365.6988776,0.027791605711010522,0.03688646732723631,0.002138979666827051,0.0,0.0,0.0
1767222365.7101958,0.032664437285244506,0.043353943317042,0.0025140169268379033,0.0,0.0,0.0
1767222365.719599,0.03834506956786709,0.050893574501719704,0.0029512265315509243,0.0,0.0,0.0
1767222365.7285995,0.04339612079437765,0.057597592901097894,0.0033399804589761225,0.0,0.0,0.0
1767222365.7387528,0.0493966617903497,0.06556182360065674,0.0038018118232308823,0.0,0.0,0.0
1767222365.748653,0.055553442318603874,0.07373342354914186,0.004275668155966453,0.0,0.0,0.0
1767222365.759858,0.06242755970347097,0.08285711035432816,0.004804734287175552,0.0,0.0,0.0
1767222365.769121,0.06903436338185803,0.09162600447848951,0.0053132266311493774,0.0,0.0,0.0
1767222365.7798746,0.07645668950243585,0.10147730248500658,0.005884485622715504,0.0,0.0,0.0
1767222365.7895901,0.0836249866354365,0.11099143998169661,0.006436193284831206,0.0,0.0,0.0
1767222365.7991788,0.0907927226486628,0.12050483273098204,0.006987857760389052,0.0,0.0,0.0
1767222365.8111424,0.10013255417091299,0.1329011438282888,0.007706697467796411,0.0,0.0,0.0
1767222365.8197281,0.10693633801549234,0.1419314802937067,0.008230350381283016,0.0,0.0,0.0
1767222365.8291569,0.11467423417378664,0.1522016192987153,0.008825897206418541,0.0,0.0,0.0
1767222365.840168,0.1235475284921826,0.1639787179076954,0.009508829899195681,0.0,0.0,0.0
1767222365.850032,0.1318911273481225,0.17505277709633962,0.010150994604848019,0.0,0.0,0.0
1767222365.860329,0.140753872932217,0.18681587487545756,0.010833115414770451,0.0,0.0,0.0
1767222365.870087,0.14943784764708284,0.19834169864114015,0.011501477132890943,0.0,0.0,0.0
