t,vx,vy,vz,wx,wy,wz
1767222365.5999935,0.0,0.0,0.0,0.0,0.0,0.0
1767222365.6089404,0.0002704386527370451,0.00034291001363374803,0.0,0.0,0.0,9.261651482591758e-07
1767222365.6182482,0.0009952248563726866,0.001261922308861643,0.0,0.0,0.0,3.4188443211850313e-06
1767222365.6294873,0.0024044252701460114,0.0030496950127409652,0.0,0.0,0.0,8.663961330306251e-06
1767222365.6382325,0.00408445053947776,0.005177454732600359,0.0,0.0,0.0,1.3093609781561882e-05
1767222365.6483765,0.0063880730787585155,0.008090063576999412,0.0,0.0,0.0,1.660688187314901e-05
1767222365.658671,0.009237819160976971,0.011705770167417943,0.0,0.0,0.0,2.797412015952455e-05
1767222365.6683521,0.012346539167893767,0.015645007478919115,0.0,0.0,0.0,3.750391518958599e-05
1767222365.6787422,0.01618896590548979,0.02055602449744757,0.0,0.0,0.0,7.218895691324886e-05
1767222365.688171,0.020099928694592765,0.02552199004279125,0.0,0.0,0.0,8.989948994888291e-05
1767222365.6982822,0.024853421154293925,0.03147301322639985,0.0,0.0,0.0,6.460812517173565e-05
1767222365.7103472,0.02982554160896995,0.0377694346269697,0.0,0.0,0.0,7.777749783396811e-05
1767222365.7190833,0.03569612446916142,0.04521820531595896,0.0,0.0,0.0,0.00010196430707441626
1767222365.727994,0.04077081284049327,0.052083120971493625,0.0,0.0,0.0,0.00035643154370396655
1767222365.7382479,0.04727131617676721,0.06001926973681394,0.0,0.0,0.0,0.00021305556939795302
1767222365.7480636,0.0539214580404771,0.06831812381998688,0.0,0.0,0.0,0.00016259294603815532
1767222365.758977,0.06135559654863958,0.07773362880479597,0.0,0.0,0.0,0.00018202464038909915
1767222365.7685065,0.06856932759913358,0.08687296609951531,0.0,0.0,0.0,0.00020404196761357986
1767222365.7790377,0.07636179878969952,0.09753419140768287,0.0,0.0,0.0,0.0006682707579045672
1767222365.7888982,0.0841922981239697,0.1077427955038196,0.0,0.0,0.0,0.0008564364517646351
1767222365.7984328,0.09217124572993451,0.11797387148678237,0.0,0.0,0.0,0.0009516182152871816
1767222365.810557,0.10318383202127714,0.13103194402932242,0.0,0.0,0.0,0.0004863409762327582
1767222365.8189857,0.11111391093403791,0.14074432429807623,0.0,0.0,0.0,0.00032037030990485286
1767222365.828402,0.12002700160050192,0.15200683735101828,0.0,0.0,0.0,0.00032950962708935784
1767222365.8393338,0.13025169461650674,0.16509103379268453,0.0,0.0,0.0,0.00044029258784745415
1767222365.8491611,0.1392969766138059,0.17798583723970685,0.0,0.0,0.0,0.0012851488025882156
1767222365.8593845,0.14952015413266345,0.19138242154016208,0.0,0.0,0.0,0.0015728720304686635
1767222365.869297,0.1546891493792876,0.19639568880872182,0.0,0.0,0.0,0.0007439654670737464
1767222365.8792918,0.15482591163466472,0.1962878922276039,0.0,0.0,0.0,0.0006191699344923499
1767222365.8895073,0.15489353082535495,0.1962345374416447,0.0,0.0,0.0,0.0005656879893489288
1767222365.8986247,0.15483580429976224,0.1962800889195648,0.0,0.0,0.0,0.0006841690761026034
1767222365.9092383,0.1547838780575553,0.19632103992182728,0.0,0.0,0.0,0.0008145884825809855
1767222365.9190173,0.15478387808074257,0.19632103995123706,0.0,0.0,0.0,0.0008594400958995947
1767222365.929417,0.15405904163794557,0.19689035362522228,0.0,0.0,0.0,0.002181762727967426
1767222365.9392884,0.15469626720997026,0.19639008271692124,0.0,0.0,0.0,0.001120356342646317
1767222365.9491267,0.15488160486569577,0.19624395065281908,0.0,0.0,0.0,0.0008189870047748545
