t,vx,vy,vz,wx,wy,wz
1773449500.0246015,0.1499999999320809,0.0,0.0,-0.0,-0.0,0.0
1773449500.089077,0.1499999999320809,0.0,0.0,-0.0,-0.0,0.0
1773449500.0950754,0.14999999993199356,0.0,0.0,-0.0,-0.0,0.0
1773449500.1040413,0.1499999999320686,0.0,0.0,-0.0,-0.0,0.0
1773449500.1139941,0.14999999993207308,0.0,0.0,-0.0,-0.0,0.0
1773449500.1240728,0.14999999993214394,0.0,0.0,-0.0,-0.0,0.0
1773449500.1339653,0.14999999993229643,0.0,0.0,-0.0,-0.0,0.0
1773449500.143966,0.14999999993211013,0.0,0.0,-0.0,-0.0,0.0
1773449500.1539488,0.14999999993185548,0.0,0.0,-0.0,-0.0,0.0
1773449500.1639774,0.1499999999320137,0.0,0.0,-0.0,-0.0,0.0
1773449500.1744065,0.1499999999320688,0.0,0.0,-0.0,-0.0,0.0
1773449500.1843545,0.1499999999321305,0.0,0.0,-0.0,-0.0,0.0
1773449500.1939876,0.14999999993201213,0.0,0.0,-0.0,-0.0,0.0
1773449500.2039936,0.14999999993206867,0.0,0.0,-0.0,-0.0,0.0
1773449500.2139926,0.1499999999320691,0.0,0.0,-0.0,-0.0,0.0
1773449500.2240448,0.14999999993192153,0.0,0.0,-0.0,-0.0,0.0
1773449500.233979,0.1499999999319804,0.0,0.0,-0.0,-0.0,0.0
1773449500.243995,0.14999999993204052,0.0,0.0,-0.0,-0.0,0.0
1773449500.2540445,0.14999999993209034,0.0,0.0,-0.0,-0.0,0.0
1773449500.264046,0.14999999993195884,0.0,0.0,-0.0,-0.0,0.0
1773449500.2740352,0.14999999993203555,0.0,0.0,-0.0,-0.0,0.0
1773449500.2840044,0.1499999999320007,0.0,0.0,-0.0,-0.0,0.0
1773449500.2943175,0.14999999993178867,0.0,0.0,-0.0,-0.0,0.0
1773449500.3039515,0.14999999993199864,0.0,0.0,-0.0,-0.0,0.0
1773449500.313975,0.14999999993200466,0.0,0.0,-0.0,-0.0,0.0
1773449500.324022,0.14999999993164587,0.0,0.0,-0.0,-0.0,0.0
1773449500.3340402,0.14999999993195332,0.0,0.0,-0.0,-0.0,0.0
1773449500.343998,0.1499999999319944,0.0,0.0,-0.0,-0.0,0.0
1773449500.3539999,0.14999999993126623,0.0,0.0,0.0,-0.0,0.0
1773449500.3640802,0.14999999993182056,0.0,0.0,0.0,-0.0,0.0
1773449500.3742983,0.14999999993184857,0.0,0.0,0.0,-0.0,0.0
1773449500.384623,0.1499999999309798,0.0,0.0,0.0,-0.0,0.0
1773449500.393987,0.14999999993175064,0.0,0.0,0.0,-0.0,0.0
1773449500.404101,0.14999999993174484,0.0,0.0,0.0,-0.0,0.0
1773449500.4141695,0.14999999993179855,0.0,0.0,0.0,-0.0,0.0
1773449500.4240048,0.14999999993034077,0.0,0.0,0.0,-0.0,0.0
1773449500.4340003,0.14999999993154203,0.0,0.0,0.0,-0.0,0.0
1773449500.4440532,0.14999999993154148,0.0,0.0,0.0,-0.0,0.0
1773449500.4539862,0.1499999999299776,0.0,0.0,0.0,-0.0,0.0
1773449500.4639795,0.14999999993137203,0.0,0.0,0.0,-0.0,0.0
1773449500.4739852,0.14999999993136506,0.0,0.0,0.0,-0.0,0.0
1773449500.4840105,0.14999999993032645,0.0,0.0,0.0,-0.0,0.0
1773449500.4940035,0.14999999993123106,0.0,0.0,0.0,-0.0,0.0
1773449500.504316,0.14999999993097388,0.0,0.0,0.0,-0.0,0.0
1773449500.5140111,0.14999999992968005,0.0,0.0,0.0,-0.0,0.0
1773449500.5240154,0.1499999999310078,0.0,0.0,0.0,-0.0,0.0
1773449500.5339901,0.14999999993106608,0.0,0.0,0.0,-0.0,0.0
1773449500.5441756,0.14999999992994692,0.0,0.0,0.0,-0.0,0.0
1773449500.5539923,0.14999999993087565,0.0,0.0,0.0,-0.0,0.0
1773449500.563976,0.14999999993081709,0.0,0.0,0.0,-0.0,0.0
1773449500.5740087,0.1499999999308416,0.0,0.0,0.0,-0.0,0.0
1773449500.583986,0.14999999993010377,0.0,0.0,0.0,-0.0,0.0
1773449500.5940015,0.14999999993083585,0.0,0.0,0.0,-0.0,0.0
1773449500.6043553,0.1499999999307588,0.0,0.0,0.0,-0.0,0.0
1773449500.6139758,0.14999999992974358,0.0,0.0,0.0,-0.0,0.0
1773449500.6239803,0.14999999993051596,0.0,0.0,0.0,-0.0,0.0
1773449500.634056,0.14999999993051083,0.0,0.0,0.0,-0.0,0.0
1773449500.6440136,0.14999999992919294,0.0,0.0,0.0,-0.0,0.0
