t,vx,vy,vz,wx,wy,wz
1773447980.3264277,0.14999999993178556,0.0,0.0,0.0,-0.0,0.0
1773447980.3363137,0.14999999993185853,0.0,0.0,0.0,-0.0,0.0
1773447980.3463237,0.14999999993184263,0.0,0.0,0.0,-0.0,0.0
1773447980.3563347,0.1499999999317645,0.0,0.0,0.0,-0.0,0.0
1773447980.3663166,0.1499999999318657,0.0,0.0,0.0,-0.0,0.0
1773447980.3763194,0.1499999999318371,0.0,0.0,0.0,-0.0,0.0
1773447980.386633,0.14999999993171292,0.0,0.0,0.0,-0.0,0.0
1773447980.3963373,0.14999999993179589,0.0,0.0,0.0,-0.0,0.0
1773447980.406358,0.1499999999315676,0.0,0.0,0.0,-0.0,0.0
1773447980.4163463,0.1499999999313472,0.0,0.0,0.0,-0.0,0.0
1773447980.4263608,0.14999999993105423,0.0,0.0,0.0,-0.0,0.0
1773447980.436345,0.14999999993116758,0.0,0.0,0.0,-0.0,0.0
1773447980.446358,0.14999999993085572,0.0,0.0,0.0,-0.0,0.0
1773447980.4563732,0.14999999993079957,0.0,0.0,0.0,-0.0,0.0
1773447980.4663615,0.14999999993060892,0.0,0.0,0.0,-0.0,0.0
1773447980.4763527,0.14999999993063984,0.0,0.0,0.0,-0.0,0.0
1773447980.486354,0.14999999993032928,0.0,0.0,0.0,-0.0,0.0
1773447980.4963613,0.1499999999305937,0.0,0.0,0.0,-0.0,0.0
1773447980.5063593,0.14999999993022498,0.0,0.0,0.0,-0.0,0.0
1773447980.516354,0.14999999993061916,0.0,0.0,0.0,-0.0,0.0
1773447980.52641,0.149999999930145,0.0,0.0,0.0,-0.0,0.0
1773447980.5362897,0.14999999993045424,0.0,0.0,0.0,-0.0,0.0
1773447980.5464394,0.14999999993031057,0.0,0.0,0.0,-0.0,0.0
1773447980.5563905,0.14999999993025867,0.0,0.0,0.0,-0.0,0.0
1773447980.5663557,0.14999999993022478,0.0,0.0,0.0,-0.0,0.0
1773447980.576406,0.14999999993007715,0.0,0.0,0.0,-0.0,0.0
1773447980.5863545,0.1499999999299351,0.0,0.0,0.0,-0.0,0.0
1773447980.596392,0.1499999999299465,0.0,0.0,0.0,-0.0,0.0
1773447980.6063542,0.14999999992975693,0.0,0.0,0.0,-0.0,0.0
1773447980.6170597,0.1499999999298713,0.0,0.0,0.0,-0.0,0.0
1773447980.6264029,0.1499999999292592,0.0,0.0,0.0,-0.0,0.0
1773447980.6372173,0.14999999993011898,0.0,0.0,0.0,-0.0,0.0
1773447980.646365,0.14999999992869376,0.0,0.0,0.0,-0.0,0.0
1773447980.656371,0.14999999992897997,0.0,0.0,0.0,-0.0,0.0
1773447980.6663382,0.14999999992926263,0.0,0.0,0.0,-0.0,0.0
1773447980.676367,0.14999999992876453,0.0,0.0,0.0,-0.0,0.0
1773447980.6863217,0.14999999992862945,0.0,0.0,0.0,-0.0,0.0
1773447980.6963487,0.14999999992874405,0.0,0.0,0.0,-0.0,0.0
1773447980.7063286,0.14999999992858268,0.0,0.0,0.0,-0.0,0.0
1773447980.716376,0.14999999992830695,0.0,0.0,0.0,-0.0,0.0
1773447980.726398,0.14999999992843685,0.0,0.0,0.0,-0.0,0.0
1773447980.7363477,0.14999999992839524,0.0,0.0,0.0,-0.0,0.0
1773447980.7463665,0.14999999992801547,0.0,0.0,0.0,-0.0,0.0
1773447980.7563806,0.14999999992818297,0.0,0.0,0.0,-0.0,0.0
1773447980.766378,0.14999999992777138,0.0,0.0,0.0,-0.0,0.0
1773447980.7763672,0.14999999992794327,0.0,0.0,0.0,-0.0,0.0
1773447980.7863672,0.14999999992754198,0.0,0.0,0.0,-0.0,0.0
1773447980.7968059,0.14999999992770674,0.0,0.0,0.0,-0.0,0.0
1773447980.8063738,0.14999999992713417,0.0,0.0,0.0,-0.0,0.0
1773447980.8163605,0.14999999992736862,0.0,0.0,0.0,-0.0,0.0
1773447980.826364,0.14999999992714588,0.0,0.0,0.0,-0.0,0.0
1773447980.8363929,0.14999999992674756,0.0,0.0,0.0,-0.0,0.0
1773447980.8463643,0.14999999992690938,0.0,0.0,0.0,-0.0,0.0
1773447980.8566835,0.14999999992676688,0.0,0.0,0.0,-0.0,0.0
1773447980.8663938,0.14999999992650928,0.0,0.0,0.0,-0.0,0.0
1773447980.8763707,0.149999999926372,0.0,0.0,0.0,-0.0,0.0
1773447980.8866343,0.14999999992609933,0.0,0.0,0.0,-0.0,0.0
1773447980.8963432,0.14999999992622012,0.0,0.0,0.0,-0.0,0.0
1773447980.906346,0.14999999992596785,0.0,0.0,0.0,-0.0,0.0
1773447980.9163883,0.14999999992558422,0.0,0.0,0.0,-0.0,0.0
1773447980.926383,0.14999999992581525,0.0,0.0,0.0,-0.0,0.0
1773447980.9363825,0.14999999992540428,0.0,0.0,0.0,-0.0,0.0
1773447980.9463654,0.1499999999252704,0.0,0.0,0.0,-0.0,0.0
1773447980.956374,0.14999999992501142,0.0,0.0,0.0,-0.0,0.0
1773447980.9663587,0.14999999992513635,0.0,0.0,0.0,-0.0,0.0
1773447980.9763594,0.14999999992447766,0.0,0.0,0.0,-0.0,0.0
1773447980.9863822,0.14999999992468083,0.0,0.0,0.0,-0.0,0.0
1773447980.9964752,0.14999999992430182,0.0,0.0,0.0,-0.0,0.0
1773447981.0063517,0.1499999999243956,0.0,0.0,0.0,-0.0,0.0
1773447981.016343,0.14999999992395724,0.0,0.0,0.0,-0.0,0.0
1773447981.0263693,0.14999999992359586,0.0,0.0,0.0,-0.0,0.0
1773447981.0363774,0.14999999992383023,0.0,0.0,0.0,-0.0,0.0
1773447981.0463908,0.14999999992333068,0.0,0.0,0.0,-0.0,0.0
1773447981.0563514,0.14999999992352506,0.0,0.0,0.0,-0.0,0.0
1773447981.066358,0.14999999992288995,0.0,0.0,0.0,-0.0,0.0
1773447981.0763552,0.14999999992307236,0.0,0.0,0.0,-0.0,0.0
1773447981.0863652,0.14999999992263224,0.0,0.0,0.0,-0.0,0.0
