t,x,y,z,qx,qy,qz,qw
1773116696.6541114,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116696.7041428,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116696.7543073,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116696.804233,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116696.8542466,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116696.904271,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116696.9542735,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116697.0042467,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116697.05409,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116697.1042745,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116697.1542113,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116697.2044442,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116697.254275,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116697.3042462,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116697.354574,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116697.4040902,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116697.4541018,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116697.5041044,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116697.55428,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116697.6041844,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116697.6540859,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116697.7042518,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116697.7547207,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116697.804642,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116697.8543882,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116697.9041693,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116697.954225,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116698.0042133,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116698.0542397,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116698.1042454,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116698.1542308,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116698.2040634,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116698.2542872,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116698.3041892,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116698.354548,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116698.4041998,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116698.4541976,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116698.5042086,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116698.5554183,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116698.6042268,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116698.6541178,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116698.704193,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116698.7542942,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116698.8042305,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116698.8541756,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116698.9043407,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116698.9548187,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116699.0040905,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116699.054562,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116699.1041882,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116699.1545453,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116699.2041614,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116699.2546725,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116699.304242,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116699.3549566,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116699.4041348,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116699.454129,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116699.504199,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116699.5544295,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116699.6042182,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116699.6542797,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116699.7043128,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116699.7542658,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116699.8041685,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116699.8541224,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116699.9042172,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116699.9545512,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116700.0041454,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116700.0542357,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116700.104322,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116700.1550527,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116700.2042317,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116700.254144,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116700.304205,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
