t,x,y,z,qx,qy,qz,qw
1767222365.5930848,0.230466090031923,-0.0003472700651022398,0.44733400419196395,0.0531278787357132,0.0790264683069594,-0.00524578464965963,0.9954419759832221
1767222365.601208,0.23046708675363253,-0.0003459471641099511,0.4473340809046049,0.053127801586223516,0.07902635354891059,-0.005245774894371596,0.9954419892626264
1767222365.609356,0.23047348029615156,-0.00033746132130956413,0.44733457298331347,0.05312730670529305,0.07902561742518237,-0.0052457123183780735,0.9954420744438539
1767222365.6189032,0.23048853261672325,-0.0003174830970665978,0.4473357314844802,0.0531261416066864,0.07902388436844635,-0.005245564995666531,0.9954422749829267
1767222365.6302655,0.23052242579448007,-0.000272498305365699,0.4473383400713614,0.05312351816354757,0.07901998205856689,-0.005245233270328597,0.9954427265188747
1767222365.6385863,0.23056962392429614,-0.00020985448796737353,0.44734197267327147,0.053119864871490376,0.07901454787267721,-0.005244771324201369,0.995443355270539
1767222365.6487136,0.23064404892952076,-0.00011107374272745845,0.4473477007904063,0.053114104124125906,0.07900597889665452,-0.005244042897779894,0.9954443466381033
1767222365.659032,0.23074939641285327,2.874892683537569e-05,0.44735580885465936,0.053105949862452366,0.07899384962447115,-0.005243011820090263,0.9954457497200785
1767222365.6695604,0.23087834482917752,0.00019989598451540514,0.4473657333636444,0.05309596879080688,0.07897900301548107,-0.005241749749143231,0.9954474668401221
1767222365.679059,0.2310565078446246,0.0004363632227364321,0.4473794456720077,0.05308217830365871,0.0789584899906533,-0.005240005991964968,0.9954498387865367
1767222365.6885173,0.23125519946929157,0.0007000771008651291,0.447394737963844,0.05306679878619156,0.07893561332065223,-0.005238061308730988,0.9954524833099815
1767222365.6986501,0.23151643231344207,0.0010467989445310665,0.4474148437377872,0.05304657826879104,0.07890553577726957,-0.005235504500644746,0.9954559590701664
1767222365.7102933,0.23181522228012152,0.0014433685583285613,0.4474378400939541,0.05302345058600832,0.07887113389385286,-0.005232580094875543,0.9954599329103153
1767222365.7194352,0.23219719068916303,0.0019503369352785824,0.4474672382751461,0.05299388438436291,0.07882715486527332,-0.005228841567108915,0.9954650104788108
1767222365.7283378,0.23256577663107697,0.0024395434044931458,0.4474956064753657,0.05296535390728414,0.07878471645259243,-0.005225234006539681,0.9954699074640829
1767222365.7385848,0.23303755102625628,0.0030657069660578766,0.44753191657018754,0.05292883590001077,0.07873039677687604,-0.005220616461581357,0.995476171545759
1767222365.7485857,0.23355847652667705,0.0037571064357755143,0.44757200957758403,0.05288851305197516,0.07867041749014066,-0.0052155178183026785,0.9954830832168787
1767222365.7596571,0.23418273263386946,0.004585651671384478,0.44762005542042094,0.05284019140837326,0.07859854018339477,-0.005209407773471666,0.9954913589387087
1767222365.76895,0.2348238847332887,0.005436622148331308,0.4476694016625295,0.05279056148230468,0.07852471683729344,-0.005203132314125039,0.9954998507665146
1767222365.7797062,0.23559109075806045,0.006454897963707842,0.4477284496392574,0.052731173491136235,0.07843637859918623,-0.005195623011102767,0.9955100016343628
1767222365.78929,0.23637815953715968,0.007499536661680942,0.4477890263519667,0.05267024733149768,0.07834575237170793,-0.00518791923224199,0.9955204034189473
1767222365.7988625,0.23720966889460668,0.00860315921104691,0.44785302343176303,0.05260588038194319,0.07825000805027009,-0.005179780403695999,0.9955313794463647
1767222365.810948,0.2383588911698396,0.01012846690099869,0.4479414732717957,0.05251691817935487,0.07811767886923246,-0.005168531680337468,0.9955465272057058
1767222365.819433,0.2392423269558044,0.0113010089121928,0.4480094668667961,0.052448529797916685,0.07801595276258375,-0.005159884415922885,0.9955581542167431
1767222365.828816,0.24029399350215658,0.01269683555512035,0.4480904083346019,0.05236711732364091,0.0778948536245935,-0.005149590369222632,0.9955719755593269
1767222365.8398364,0.2415610480625595,0.014378536394219855,0.4481879271310919,0.052269029554061854,0.07774895037759016,-0.005137187888477356,0.9955885990525011
1767222365.8496692,0.24281170045915565,0.016038467426794063,0.4482841835357921,0.052172209935284486,0.0776049334750358,-0.005124945801356413,0.995604976755042
