t,data
1773447980.3239563,0.026001348091299076
1773447980.3556478,0.02603957068852097
1773447980.3718908,0.026214905097137225
1773447980.4040308,0.026437332688967283
1773447980.419972,0.026873411737381964
1773447980.4519424,0.0271720747495016
1773447980.4679332,0.02766180301133421
1773447980.5007548,0.027989601349919034
1773447980.5322926,0.028613935681828632
1773447980.563961,0.029135802300652998
1773447980.596685,0.02976382634452993
1773447980.6279187,0.03039918436887194
1773447980.6598048,0.03080759244438853
1773447980.691701,0.03133975726304276
1773447980.7078187,0.031889198872018513
1773447980.7397757,0.03220641616400206
1773447980.7561142,0.03273276053830807
1773447980.787989,0.03304839143620048
1773447980.820612,0.03367967151548884
1773447980.8519554,0.03430666788483406
1773447980.8835485,0.034825354715722866
1773447980.9158201,0.0353410667729056
1773447980.931705,0.035748512250280834
1773447980.9477005,0.03605256956328412
1773447980.979571,0.036353941895091585
1773447980.995708,0.03685521086275554
1773447981.0277677,0.0371508586761365
1773447981.0603757,0.03764314978883135
1773447981.0919113,0.038313852314758055
1773447981.1242208,0.03878692843170945
1773447981.1559434,0.03925059695815431
1773447981.1878211,0.0397117576156714
1773447981.2199893,0.04015840019954019
1773447981.2360516,0.040596498078239916
1773447981.267937,0.04085542649290952
1773447981.2833683,0.04127232639897838
1773447981.2996259,0.04143493687637028
1773447981.3161566,0.0416777304883595
1773447981.347771,0.041991103498948384
1773447981.3805482,0.04246039452922895
1773447981.4118204,0.04282528255043258
1773447981.4438424,0.043173653564288525
1773447981.4599519,0.04343607111871009
1773447981.4917474,0.04363827954155619
1773447981.5077462,0.04394678518715175
1773447981.5409472,0.04411259976258464
1773447981.5717843,0.04443818421859277
1773447981.6043005,0.04470556503637414
1773447981.6357613,0.044974772305674926
1773447981.6678667,0.04519690295080545
1773447981.699798,0.04540056800592361
1773447981.7317457,0.045558850642509245
1773447981.7478733,0.045660392777235236
1773447981.779974,0.0457255249877865
1773447981.7957258,0.04581423456248071
1773447981.8277447,0.04585912670786727
1773447981.8433652,0.04590084376077694
1773447981.876317,0.04590644827205227
1773447981.9078972,0.04589329850468588
1773447981.9402306,0.04582871811476821
1773447981.97168,0.045726626731923535
1773447981.9876225,0.04564057930384639
1773447982.020186,0.04554203425954967
1773447982.0355928,0.04533008417255171
1773447982.067946,0.045195117271867195
1773447982.0837839,0.04511584893028679
1773447982.1155581,0.04508707864990557
1773447982.1324842,0.04504942044964014
1773447982.1640942,0.045015553216398156
1773447982.1953185,0.04498143703051
1773447982.2278209,0.04499489229064426
1773447982.2605338,0.04499493722735562
1773447982.2919402,0.044993138141036615
1773447982.324281,0.04499266998277665
1773447982.355772,0.04499087208108538
1773447982.371546,0.04499105139095217
1773447982.4036431,0.04499041351837794
1773447982.4202075,0.0449886649661315
1773447982.4518967,0.04498918877882623
1773447982.4833484,0.04498087641827389
1773447982.515928,0.04498734601996809
1773447982.5476968,0.04497898577534125
1773447982.5633757,0.04498312522205763
1773447982.595557,0.04499021392940044
1773447982.6119123,0.04497393763804238
1773447982.644113,0.044970958296197704
1773447982.6607158,0.04498016401956702
1773447982.6915808,0.044974632526676224
1773447982.7238839,0.04499287406735956
1773447982.7560952,0.044992751216230635
1773447982.7876709,0.04500677806706544
1773447982.819646,0.04501903338624577
1773447982.8519518,0.04503027486332779
1773447982.8833444,0.04505250132454519
1773447982.9003325,0.04504762845720706
1773447982.9315517,0.04505458359605235
1773447982.9475174,0.045077824249602126
1773447982.9806979,0.04507737914973873
1773447983.011672,0.04510264184921686
1773447983.0444396,0.04507240878870601
1773447983.0757382,0.04508225678730846
1773447983.1076107,0.04510354093760984
1773447983.139987,0.04507893482298715
1773447983.171467,0.045021333948112516
1773447983.1890402,0.04490730284780471
1773447983.2204926,0.04480876767630963
1773447983.2357082,0.04462580332406118
1773447983.2679892,0.04451226867719822
1773447983.3002987,0.04431211871263749
1773447983.3316455,0.04428790370839386
1773447983.3636563,0.04419847270251975
1773447983.3958132,0.0441812842378772
1773447983.427835,0.04417017292529989
1773447983.4605138,0.04418793784519607
1773447983.475823,0.04416060399400693
1773447983.5078137,0.04410592358123377
1773447983.5397217,0.04402274957794658
1773447983.5717552,0.043925066655734354
1773447983.6040187,0.043757653526079195
1773447983.636116,0.04359906511770102
1773447983.667839,0.04337775886527759
1773447983.6997585,0.0432171297660466
1773447983.715695,0.043086618687105185
1773447983.7477865,0.04297770097576799
1773447983.7637465,0.04283745164047127
1773447983.7962217,0.04276440347215349
1773447983.811951,0.042627625995274
1773447983.8439732,0.04255932656661106
1773447983.875687,0.042442988639130215
1773447983.9079192,0.04228405159740623
1773447983.9395814,0.042142642712817945
1773447983.971705,0.04202078803200237
1773447984.0035703,0.04198402036698475
1773447984.0356941,0.04195701413769247
1773447984.0516372,0.04190741713335364
1773447984.0835757,0.041886245537842606
1773447984.0995886,0.041827233852781205
1773447984.1316776,0.04175729843039999
1773447984.1637032,0.04158600778159419
1773447984.195726,0.041414410340096054
1773447984.2277658,0.041183586248794576
1773447984.260105,0.04093004149804648
1773447984.2916465,0.04064056378980056
1773447984.3236332,0.04029976560895747
1773447984.3404944,0.03991244812735336
1773447984.3714876,0.03967679504034502
1773447984.387574,0.039274643142113604
1773447984.4194863,0.039007505494332434
1773447984.451486,0.03844104838073953
1773447984.4839795,0.037988514308567034
1773447984.5159914,0.037410775036659745
1773447984.5478685,0.03692263791491743
1773447984.5797188,0.03641855092498606
1773447984.6116896,0.035942392730276516
1773447984.6276593,0.035483340814153164
1773447984.659759,0.03520572043617181
1773447984.6755564,0.03474562484801462
1773447984.7077117,0.03446436656252052
1773447984.739867,0.033957548081536754
1773447984.7716353,0.0334243590984888
1773447984.8036592,0.0330297336546757
1773447984.8361137,0.032637783788357924
1773447984.8678536,0.032261482255309525
1773447984.8999615,0.031868560824120734
1773447984.9157176,0.031505533533660014
1773447984.947836,0.03130262961941731
1773447984.9634917,0.030972112209147584
1773447984.9957578,0.03079543242776693
1773447985.0277154,0.030416162891886554
1773447985.059627,0.030063775784383583
1773447985.0910828,0.029791788396913436
1773447985.1235008,0.029511079530052775
1773447985.1556072,0.029251855174640178
1773447985.1875808,0.029016317281334532
1773447985.203393,0.02877109132451841
1773447985.235733,0.028646744288969076
1773447985.251921,0.028422215370411823
1773447985.2834938,0.028296310969127995
1773447985.3155482,0.028057163193028863
1773447985.347516,0.027830469094102243
1773447985.3795907,0.027648494179656206
1773447985.4118261,0.027478480576389862
1773447985.4435148,0.027314808555926353
1773447985.4751534,0.027152191908523367
1773447985.4913704,0.02699726374740734
1773447985.523537,0.026910201442903466
1773447985.5399523,0.02677432561608748
1773447985.5716884,0.026709981135852247
1773447985.6039336,0.026574698578482183
1773447985.6360462,0.02645170810337269
1773447985.6678185,0.026357934645834025
1773447985.7003703,0.026264790849203922
1773447985.7313936,0.026175813262196274
1773447985.7634444,0.026084660551162587
1773447985.779589,0.025996218360730964
1773447985.8116693,0.025958862197820717
1773447985.8275337,0.02590581179911631
1773447985.8603542,0.02588581695972619
1773447985.8921046,0.025847631248465005
1773447985.924442,0.025809131504094106
1773447985.955728,0.02578004527536062
1773447985.9876175,0.025754050495630162
1773447986.020505,0.02572723186068828
1773447986.051514,0.025702295137308363
1773447986.0676484,0.025678697644481326
1773447986.0999556,0.02566672703093675
1773447986.1155434,0.02564753328226106
1773447986.147734,0.02563758900631748
1773447986.1801488,0.0256160926508645
1773447986.2111952,0.02560163892910383
1773447986.2454112,0.0255873938796813
1773447986.2752175,0.02557342280243789
1773447986.3079422,0.025560244765723043
1773447986.3394299,0.025547873981937214
1773447986.3579185,0.025534663791718884
1773447986.3872406,0.025528188834683364
1773447986.4044187,0.02552021183144804
1773447986.435166,0.02551374841419102
1773447986.4671185,0.02550001978960319
1773447986.4989972,0.02548828833152281
1773447986.5312417,0.025476229731866775
1773447986.56335,0.02546592942081932
1773447986.579313,0.025462825238331085
1773447986.5953474,0.025459617386379172
1773447986.6276479,0.025457401358759013
1773447986.644154,0.025453547596527588
1773447986.6755984,0.025451664694124618
1773447986.6912642,0.02544916816573622
1773447986.7234643,0.02544786622721108
1773447986.7555022,0.02544592333543656
1773447986.7876058,0.025444212260475562
1773447986.8199525,0.025441432115570796
1773447986.8355508,0.025439847942886295
1773447986.8676543,0.025438228203782276
1773447986.8835056,0.025435422054997662
1773447986.9158278,0.025433388236379934
1773447986.9312541,0.025430772533280882
1773447986.9641209,0.025429747719172384
1773447986.995458,0.025426885400107506
1773447987.0275474,0.025426640822124955
1773447987.0599966,0.025440086127398245
1773447987.0909863,0.025447814079805887
1773447987.107341,0.02545087048804976
1773447987.1237047,0.02545349053566159
1773447987.1554937,0.02545297506250051
1773447987.1712835,0.025452834362009617
1773447987.2034285,0.02545293654695345
1773447987.2190456,0.02544698774379072
1773447987.2516117,0.02544341369629733
1773447987.2833865,0.025438862499836807
1773447987.3151093,0.025434134059625583
1773447987.3476298,0.025430204492628655
1773447987.363806,0.025426275006182376
1773447987.3955572,0.02542382658305277
1773447987.411258,0.025420115379995868
1773447987.4434636,0.02541746551762913
1773447987.4604926,0.025411657325522828
1773447987.4913373,0.02541002269890612
1773447987.5234535,0.0254077299295883
1773447987.5554528,0.025404143383241654
1773447987.5875485,0.025398510339246862
1773447987.6192052,0.025392806198697992
1773447987.6513665,0.025388908551036544
1773447987.683238,0.025386416065135593
1773447987.699347,0.025384963269318047
1773447987.7312183,0.0253842702714338
1773447987.7633257,0.02538059896742209
1773447987.7792926,0.025378360868249926
1773447987.8113077,0.025377075044002616
1773447987.8445792,0.025374774789145297
1773447987.875655,0.025372694743229736
1773447987.9071152,0.025369358622438463
1773447987.9230964,0.025366633581226414
1773447987.9395068,0.025366738759608147
1773447987.9715939,0.02536642961667747
1773447987.987288,0.025365754956309057
1773447988.0199418,0.025365631092075087
1773447988.035068,0.025365950367744118
1773447988.0674262,0.025367062171765178
1773447988.098988,0.02536736770926804
1773447988.1311688,0.0253649908173489
1773447988.1648111,0.02536180226327594
1773447988.1955664,0.02536146268857361
1773447988.2120795,0.025361719852149505
1773447988.2268505,0.025362382811295745
1773447988.2432976,0.025362608050354143
1773447988.2593882,0.02536283604537184
1773447988.2754169,0.025362865085841662
1773447988.3075476,0.025363106188076173
1773447988.339404,0.025367076266349726
1773447988.3721879,0.025370435847007024
1773447988.4033122,0.02537028922781462
1773447988.4189997,0.025367644832021804
1773447988.4356961,0.025367461574420505
1773447988.451369,0.02536503192364241
1773447988.4675372,0.025365055484941477
1773447988.5002117,0.025365503168783648
1773447988.5148664,0.025365976977502012
1773447988.5470061,0.025365997900873884
1773447988.5794556,0.025366280449233027
1773447988.610971,0.02536634562167083
1773447988.6432726,0.02536392920359816
1773447988.658859,0.025361900299504834
1773447988.675269,0.02536151540103001
1773447988.691154,0.025360512680542287
1773447988.7071793,0.025358690613852056
1773447988.739231,0.025357279582744
1773447988.7552052,0.02535772964993354
1773447988.7874198,0.025358171845695308
1773447988.8193412,0.025358425553583492
1773447988.8520322,0.025360524555598056
1773447988.8828118,0.025363450429156713
1773447988.8994188,0.025363478928013907
1773447988.931195,0.025363499674927372
1773447988.9472446,0.025361466020590584
1773447988.9790454,0.025361272281541707
1773447988.9951282,0.02536150256870218
1773447989.0273905,0.025362968049448865
