time_sec,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,joint_1_eff,joint_1_pos,joint_1_vel,joint_2_eff,joint_2_pos,joint_2_vel,joint_3_eff,joint_3_pos,joint_3_vel,joint_4_eff,joint_4_pos,joint_4_vel,joint_5_eff,joint_5_pos,joint_5_vel,joint_6_eff,joint_6_pos,joint_6_vel
0.0000000000000000,nan,nan,nan,nan,nan,nan,0.0000000000000000,0.0360149348182005,0.0000000000000000,0.0000000000000000,-0.6173863643722045,0.0000000000000000,0.0000000000000000,0.6086799385237309,0.0000000000000000,0.0000000000000000,0.0258563948095215,0.0000000000000000,0.0000000000000000,-1.5748610046973190,0.0000000000000000,0.0000000000000000,0.2857582335013412,0.0000000000000000
0.0157384872436523,nan,nan,nan,nan,nan,nan,0.0000000000000000,0.0360149348182005,0.0000000000000000,0.0000000000000000,-0.6173863643722045,0.0000000000000000,0.0000000000000000,0.6086799385237309,0.0000000000000000,0.0000000000000000,0.0258563948095215,0.0000000000000000,0.0000000000000000,-1.5748610046973190,0.0000000000000000,0.0000000000000000,0.2857582335013412,0.0000000000000000
0.0316243171691895,nan,nan,nan,nan,nan,nan,0.0000000000000000,0.0360149348182005,0.0000000000000000,0.0000000000000000,-0.6173863643722045,0.0000000000000000,0.0000000000000000,0.6086799385237309,0.0000000000000000,0.0000000000000000,0.0258563948095215,0.0000000000000000,0.0000000000000000,-1.5748610046973190,0.0000000000000000,0.0000000000000000,0.2857582335013412,0.0000000000000000
0.0476195812225342,nan,nan,nan,nan,nan,nan,0.0000000000000000,0.0360149348182005,0.0000000000000000,0.0000000000000000,-0.6173863643722045,0.0000000000000000,0.0000000000000000,0.6086799385237309,0.0000000000000000,0.0000000000000000,0.0258563948095215,0.0000000000000000,0.0000000000000000,-1.5748610046973190,0.0000000000000000,0.0000000000000000,0.2857582335013412,0.0000000000000000
0.0637514591217041,nan,nan,nan,nan,nan,nan,0.0000000000000000,0.0360149348182005,0.0000000000000000,0.0000000000000000,-0.6173863643722045,0.0000000000000000,0.0000000000000000,0.6086799385237309,0.0000000000000000,0.0000000000000000,0.0258563948095215,0.0000000000000000,0.0000000000000000,-1.5748610046973190,0.0000000000000000,0.0000000000000000,0.2857582335013412,0.0000000000000000
0.0796041488647461,nan,nan,nan,nan,nan,nan,0.0000000000000000,0.0360149348182005,0.0000000000000000,0.0000000000000000,-0.6173863643722045,0.0000000000000000,0.0000000000000000,0.6086799385237309,0.0000000000000000,0.0000000000000000,0.0258563948095215,0.0000000000000000,0.0000000000000000,-1.5748610046973190,0.0000000000000000,0.0000000000000000,0.2857582335013412,0.0000000000000000
0.0955848693847656,nan,nan,nan,nan,nan,nan,0.0000000000000000,0.0360149348182005,0.0000000000000000,0.0000000000000000,-0.6173863643722045,0.0000000000000000,0.0000000000000000,0.6086799385237309,0.0000000000000000,0.0000000000000000,0.0258563948095215,0.0000000000000000,0.0000000000000000,-1.5748610046973190,0.0000000000000000,0.0000000000000000,0.2857582335013412,0.0000000000000000
0.1115365028381348,nan,nan,nan,nan,nan,nan,0.0000000000000000,0.0360149348182005,0.0000000000000000,0.0000000000000000,-0.6173863643722045,0.0000000000000000,0.0000000000000000,0.6086799385237309,0.0000000000000000,0.0000000000000000,0.0258563948095215,0.0000000000000000,0.0000000000000000,-1.5748610046973190,0.0000000000000000,0.0000000000000000,0.2857582335013412,0.0000000000000000
0.1275272369384766,nan,nan,nan,nan,nan,nan,0.0000000000000000,0.0360149348182005,0.0000000000000000,0.0000000000000000,-0.6173863643722045,0.0000000000000000,0.0000000000000000,0.6086799385237309,0.0000000000000000,0.0000000000000000,0.0258563948095215,0.0000000000000000,0.0000000000000000,-1.5748610046973190,0.0000000000000000,0.0000000000000000,0.2857582335013412,0.0000000000000000
0.1434938907623291,nan,nan,nan,nan,nan,nan,0.0000000000000000,0.0360149348182005,0.0000000000000000,0.0000000000000000,-0.6173863643722045,0.0000000000000000,0.0000000000000000,0.6086799385237309,0.0000000000000000,0.0000000000000000,0.0258563948095215,0.0000000000000000,0.0000000000000000,-1.5748610046973190,0.0000000000000000,0.0000000000000000,0.2857582335013412,0.0000000000000000
